t,ke,pe,ke_err,pe_err
150,5.83229764e-05,-2.93809354e-06,8.23986028e-02,8.75491519e-02
151,5.82436881e-05,-2.93525464e-06,8.36460534e-02,8.84307970e-02
152,5.81627704e-05,-2.93237801e-06,8.49191399e-02,8.93241578e-02
153,5.80803805e-05,-2.92946769e-06,8.62153877e-02,9.02279857e-02
154,5.79966791e-05,-2.92652775e-06,8.75322709e-02,9.11410080e-02
155,5.79118293e-05,-2.92356237e-06,8.88672216e-02,9.20619328e-02
156,5.78259965e-05,-2.92057575e-06,9.02176387e-02,9.29894537e-02
157,5.77393474e-05,-2.91757214e-06,9.15808975e-02,9.39222542e-02
158,5.76520499e-05,-2.91455577e-06,9.29543581e-02,9.48590119e-02
159,5.75642721e-05,-2.91153093e-06,9.43353744e-02,9.57984033e-02
160,5.74761822e-05,-2.90850186e-06,9.57213023e-02,9.67391075e-02
161,5.73879475e-05,-2.90547280e-06,9.71095082e-02,9.76798106e-02
162,5.72997343e-05,-2.90244793e-06,9.84973762e-02,9.86192095e-02
163,5.72117071e-05,-2.89943141e-06,9.98823166e-02,9.95560154e-02
164,5.71240285e-05,-2.89642734e-06,1.01261772e-01,1.00488958e-01
165,5.70368586e-05,-2.89343972e-06,1.02633226e-01,1.01416788e-01
166,5.69503543e-05,-2.89047251e-06,1.03994207e-01,1.02338280e-01
167,5.68646693e-05,-2.88752957e-06,1.05342298e-01,1.03252239e-01
168,5.67799537e-05,-2.88461463e-06,1.06675137e-01,1.04157498e-01
169,5.66963533e-05,-2.88173136e-06,1.07990430e-01,1.05052924e-01
170,5.66140098e-05,-2.87888328e-06,1.09285949e-01,1.05937421e-01
171,5.65330601e-05,-2.87607380e-06,1.10559540e-01,1.06809928e-01
172,5.64536359e-05,-2.87330621e-06,1.11809129e-01,1.07669426e-01
173,5.63758641e-05,-2.87058366e-06,1.13032720e-01,1.08514940e-01
174,5.62998659e-05,-2.86790914e-06,1.14228408e-01,1.09345535e-01
175,5.62257569e-05,-2.86528552e-06,1.15394372e-01,1.10160325e-01
176,5.61536469e-05,-2.86271550e-06,1.16528886e-01,1.10958467e-01
177,5.60836396e-05,-2.86020163e-06,1.17630318e-01,1.11739170e-01
178,5.60158326e-05,-2.85774631e-06,1.18697133e-01,1.12501691e-01
179,5.59503171e-05,-2.85535177e-06,1.19727896e-01,1.13245336e-01
180,5.58871778e-05,-2.85302008e-06,1.20721272e-01,1.13969463e-01
181,5.58264932e-05,-2.85075314e-06,1.21676029e-01,1.14673483e-01
182,5.57683349e-05,-2.84855267e-06,1.22591040e-01,1.15356859e-01
183,5.57127678e-05,-2.84642023e-06,1.23465282e-01,1.16019105e-01
184,5.56598503e-05,-2.84435722e-06,1.24297840e-01,1.16659791e-01
185,5.56096337e-05,-2.84236485e-06,1.25087902e-01,1.17278540e-01
186,5.55621628e-05,-2.84044416e-06,1.25834767e-01,1.17875028e-01
187,5.55174753e-05,-2.83859601e-06,1.26537840e-01,1.18448985e-01
188,5.54756022e-05,-2.83682111e-06,1.27196634e-01,1.19000196e-01
189,5.54365676e-05,-2.83511998e-06,1.27810769e-01,1.19528499e-01
190,5.54003890e-05,-2.83349295e-06,1.28379972e-01,1.20033785e-01
191,5.53670767e-05,-2.83194022e-06,1.28904077e-01,1.20516001e-01
192,5.53366345e-05,-2.83046178e-06,1.29383027e-01,1.20975144e-01
193,5.53090596e-05,-2.82905747e-06,1.29816866e-01,1.21411265e-01
