t,ke,pe,ke_err,pe_err
182,6.35587420e-05,-3.21996158e-06,2.37622630e-05,1.25462425e-05
183,6.35589109e-05,-3.21996585e-06,2.11055823e-05,1.12215170e-05
184,6.35590729e-05,-3.21996994e-06,1.85570137e-05,9.95084906e-06
185,6.35592273e-05,-3.21997384e-06,1.61266013e-05,8.73926101e-06
186,6.35593737e-05,-3.21997754e-06,1.38239349e-05,7.59154784e-06
187,6.35595114e-05,-3.21998101e-06,1.16581128e-05,6.51225879e-06
188,6.35596398e-05,-3.21998425e-06,9.63770609e-06,5.50567962e-06
189,6.35597584e-05,-3.21998725e-06,7.77072601e-06,4.57581600e-06
190,6.35598669e-05,-3.21998998e-06,6.06459267e-06,3.72637811e-06
191,6.35599647e-05,-3.21999245e-06,4.52610671e-06,2.96076636e-06
192,6.35600514e-05,-3.21999463e-06,3.16142344e-06,2.28205850e-06
193,6.35601267e-05,-3.21999653e-06,1.97602971e-06,1.69299803e-06
194,6.35601904e-05,-3.21999813e-06,9.74723512e-07,1.19598401e-06
195,6.35602421e-05,-3.21999943e-06,1.61596725e-07,7.93062441e-07
196,6.35602816e-05,-3.22000042e-06,4.59979185e-07,4.85919107e-07
197,6.35603087e-05,-3.22000109e-06,8.87364155e-07,2.75874074e-07
198,6.35603234e-05,-3.22000145e-06,1.11865719e-06,1.63877868e-07
199,6.35603256e-05,-3.22000150e-06,1.15270051e-06,1.50509392e-07
200,6.35603152e-05,-3.22000122e-06,9.89080117e-07,2.35975657e-07
201,6.35602923e-05,-3.22000063e-06,6.28122509e-07,4.20113404e-07
202,6.35602568e-05,-3.21999972e-06,7.08875836e-08,7.02392669e-07
203,6.35602091e-05,-3.21999850e-06,6.80842540e-07,1.08192237e-06
204,6.35601491e-05,-3.21999696e-06,1.62457878e-06,1.55745792e-06
205,6.35600771e-05,-3.21999513e-06,2.75714446e-06,2.12741093e-06
206,6.35599934e-05,-3.21999300e-06,4.07469869e-06,2.78986091e-06
207,6.35598981e-05,-3.21999057e-06,5.57276335e-06,3.54256874e-06
208,6.35597918e-05,-3.21998787e-06,7.24625316e-06,4.38299166e-06
209,6.35596746e-05,-3.21998489e-06,9.08950743e-06,5.30829928e-06
210,6.35595471e-05,-3.21998164e-06,1.10963220e-05,6.31538940e-06
211,6.35594095e-05,-3.21997815e-06,1.32599785e-05,7.40090272e-06
212,6.35592625e-05,-3.21997441e-06,1.55732675e-05,8.56123442e-06
